sampleID,barcode,description,Sentrix_ID,Sentrix_Position,comment,study
MCC_1,201465940044_R06C01,MCC,201465940044,R06C01,MCC,Charite
MCC_2,201465940044_R07C01,MCC,201465940044,R07C01,MCC,Charite
MCC_3,201465930047_R01C01,MCC,201465930047,R01C01,MCC,Charite
MCC_4,202060330099_R01C01,MCC,202060330099,R01C01,MCC,Charite
PEAD_1,201465940044_R08C01,PEAD,201465940044,R08C01,PEAD,Charite
PEAD_2,201465930047_R02C01,PEAD,201465930047,R02C01,PEAD,Charite
PEAD_3,201465930047_R03C01,PEAD,201465930047,R03C01,PEAD,Charite
PEAD_4,201869690097_R04C01,PEAD,201869690097,R04C01,PEAD,Charite
PEAD_5,201869690097_R05C01,PEAD,201869690097,R05C01,PEAD,Charite
PEAD_6,201869690097_R06C01,PEAD,201869690097,R06C01,PEAD,Charite
PEAD_7,201876940067_R08C01,PEAD,201876940067,R08C01,PEAD,Charite
PEAD_8,202060330063_R07C01,PEAD,202060330063,R07C01,PEAD,Charite
PEAD_9,202790040015_R03C01,PEAD,202790040015,R03C01,PEAD,Charite
PEAD_10,202790040015_R04C01,PEAD,202790040015,R04C01,PEAD,Charite
PEAD_11,202787550065_R06C01,PEAD,202787550065,R06C01,PEAD,Charite
PEAD_12,202915460142_R07C01,PEAD,202915460142,R07C01,PEAD,Charite
PEAD_13,202790040026_R06C01,PEAD,202790040026,R06C01,PEAD,Charite
PEAD_14,202915460087_R05C01,PEAD,202915460087,R05C01,PEAD,Charite
